"","Qty_Small","Qty_Medium","Qty_Large","Price_Small","Price_Medium","Price_Large","Qty_Cake","Qty_Choc","Price_Cake","Price_Choc","Qty_Penalty","Profit"
"1",24,13,9,5,7,10,3,8,10,3,50,355
"2",14,17,12,5,7,10,2,4,10,3,50,341
"3",17,15,5,5,7,10,2,6,10,3,50,278
"4",18,16,8,5,7,10,2,7,10,3,50,323
"5",20,19,8,5,7,10,2,3,10,3,50,342
"6",27,16,6,5,7,10,2,1,10,3,50,330
"7",25,8,15,5,7,10,0,4,10,3,50,343
"8",20,16,6,5,7,10,0,3,10,3,50,281
"9",18,25,9,5,7,10,3,3,10,3,50,354.6
"10",22,20,4,5,7,10,4,1,10,3,50,333
"11",13,14,7,5,7,10,2,7,10,3,50,274
"12",22,14,13,5,7,10,3,5,10,3,50,383
"13",19,15,15,5,7,10,2,5,10,3,50,385
"14",19,14,13,5,7,10,3,4,10,3,50,365
"15",22,17,8,5,7,10,3,6,10,3,50,357
"16",23,19,11,5,7,10,2,3,10,3,50,348.3
"17",23,18,10,5,7,10,3,2,10,3,50,339.3
"18",18,17,11,5,7,10,2,3,10,3,50,348
"19",22,12,9,5,7,10,2,6,10,3,50,322
"20",18,11,15,5,7,10,3,6,10,3,50,365
"21",21,11,13,5,7,10,1,6,10,3,50,340
"22",29,7,14,5,7,10,4,3,10,3,50,383
"23",22,19,9,5,7,10,0,3,10,3,50,342
"24",11,17,8,5,7,10,2,5,10,3,50,289
"25",26,16,5,5,7,10,1,7,10,3,50,323
"26",22,12,12,5,7,10,1,4,10,3,50,336
"27",16,13,7,5,7,10,1,6,10,3,50,269
"28",24,16,8,5,7,10,3,5,10,3,50,357
"29",17,16,9,5,7,10,2,7,10,3,50,328
"30",21,13,11,5,7,10,1,4,10,3,50,328
"31",24,18,10,5,7,10,3,5,10,3,50,351.9
"32",20,13,10,5,7,10,2,2,10,3,50,317
"33",19,13,8,5,7,10,0,3,10,3,50,275
"34",16,10,8,5,7,10,3,4,10,3,50,272
"35",20,12,3,5,7,10,4,2,10,3,50,260
"36",12,14,11,5,7,10,3,2,10,3,50,304
"37",31,11,9,5,7,10,1,3,10,3,50,306.9
"38",21,15,10,5,7,10,4,2,10,3,50,356
"39",22,17,9,5,7,10,3,4,10,3,50,361
"40",20,20,9,5,7,10,3,3,10,3,50,369
"41",14,17,4,5,7,10,2,4,10,3,50,261
"42",16,14,12,5,7,10,2,5,10,3,50,333
"43",19,8,10,5,7,10,1,3,10,3,50,270
"44",24,18,5,5,7,10,2,7,10,3,50,337
"45",23,15,9,5,7,10,1,4,10,3,50,332
"46",14,9,12,5,7,10,0,6,10,3,50,271
"47",20,21,7,5,7,10,1,10,10,3,50,357
"48",17,14,10,5,7,10,2,5,10,3,50,318
"49",14,8,12,5,7,10,0,7,10,3,50,267
"50",19,19,16,5,7,10,4,4,10,3,50,396
"51",17,13,11,5,7,10,2,5,10,3,50,321
"52",19,14,10,5,7,10,3,2,10,3,50,329
"53",18,13,7,5,7,10,4,3,10,3,50,300
"54",13,14,10,5,7,10,3,0,10,3,50,293
"55",25,16,9,5,7,10,1,3,10,3,50,346
"56",20,7,9,5,7,10,1,4,10,3,50,261
"57",26,14,7,5,7,10,1,5,10,3,50,323
"58",26,13,10,5,7,10,3,3,10,3,50,360
"59",25,20,9,5,7,10,5,3,10,3,50,372.6
"60",15,10,12,5,7,10,5,3,10,3,50,324
"61",26,15,8,5,7,10,1,6,10,3,50,343
"62",25,13,7,5,7,10,3,6,10,3,50,334
"63",18,11,10,5,7,10,3,4,10,3,50,309
"64",23,14,12,5,7,10,3,4,10,3,50,375
"65",20,20,10,5,7,10,3,3,10,3,50,379
"66",21,14,7,5,7,10,0,4,10,3,50,285
"67",19,14,5,5,7,10,3,2,10,3,50,279
"68",12,15,8,5,7,10,0,4,10,3,50,257
"69",17,11,7,5,7,10,4,7,10,3,50,293
"70",16,13,10,5,7,10,2,3,10,3,50,300
"71",16,20,14,5,7,10,3,2,10,3,50,396
"72",26,13,8,5,7,10,3,8,10,3,50,355
"73",19,20,12,5,7,10,3,3,10,3,50,354.6
"74",24,19,6,5,7,10,3,4,10,3,50,355
"75",21,18,13,5,7,10,3,7,10,3,50,370.8
"76",22,16,11,5,7,10,1,5,10,3,50,357
"77",22,10,9,5,7,10,1,3,10,3,50,289
"78",28,14,13,5,7,10,4,2,10,3,50,372.6
"79",17,19,10,5,7,10,2,4,10,3,50,350
"80",27,17,10,5,7,10,1,2,10,3,50,333
"81",19,13,9,5,7,10,3,10,10,3,50,336
